"State","Year","Sector","Value"
"Alabama",1990,"Construction",5.22068712556547
"Alabama",1991,"Construction",4.841361671031
"Alabama",1992,"Construction",4.58074534161491
"Alabama",1993,"Construction",4.64818266542404
"Alabama",1994,"Construction",4.79954506681831
"Alabama",1995,"Construction",4.96229762696829
"Alabama",1996,"Construction",5.23869415431727
"Alabama",1997,"Construction",5.24031506188716
"Alabama",1998,"Construction",5.29448951638394
"Alabama",1999,"Construction",5.40793998124414
"Alabama",2000,"Construction",5.46810273405137
"Alabama",2001,"Construction",5.50636558914444
"Alabama",2002,"Construction",5.32604078164826
"Alabama",2003,"Construction",5.32124766728872
"Alabama",2004,"Construction",5.40568964610612
"Alabama",2005,"Construction",5.42444341611394
"Alabama",2006,"Construction",5.54685526648144
"Alabama",2007,"Construction",5.61898589021289
"Alabama",2008,"Construction",5.44651372923046
"Alabama",2009,"Construction",4.860853432282
"Alabama",2010,"Construction",4.66110754757323
"Alabama",2011,"Construction",4.31550802139038
"Alabama",2012,"Construction",4.22258766113204
"Alabama",2013,"Construction",4.16272469252602
"Alabama",2014,"Construction",4.15583064600021
"Alabama",2015,"Construction",4.18654763737109
"Alabama",2016,"Construction",4.26662617673854
"Alaska",1990,"Construction",4.15966386554622
"Alaska",1991,"Construction",4.12201154163232
"Alaska",1992,"Construction",4.16835289356536
"Alaska",1993,"Construction",4.70727848101266
"Alaska",1994,"Construction",4.97493251060548
"Alaska",1995,"Construction",5.15267175572519
"Alaska",1996,"Construction",5.00758725341426
"Alaska",1997,"Construction",5.02419054707853
"Alaska",1998,"Construction",5.01818181818182
"Alaska",1999,"Construction",5.08595988538682
"Alaska",2000,"Construction",4.9982400563182
"Alaska",2001,"Construction",5.15036294503975
"Alaska",2002,"Construction",5.3577483892845
"Alaska",2003,"Construction",5.64839572192513
"Alaska",2004,"Construction",5.81854043392505
"Alaska",2005,"Construction",6.16725863739102
"Alaska",2006,"Construction",5.94216714331109
"Alaska",2007,"Construction",5.60276990871892
"Alaska",2008,"Construction",5.40372670807453
"Alaska",2009,"Construction",5.14178871922717
"Alaska",2010,"Construction",5.10926438904278
"Alaska",2011,"Construction",4.93640218049667
"Alaska",2012,"Construction",5.10143198090692
"Alaska",2013,"Construction",5.10992275698158
"Alaska",2014,"Construction",5.26471458148477
"Alaska",2015,"Construction",5.19327235172617
"Alaska",2016,"Construction",4.90373044524669
"Arizona",1990,"Construction",5.67729755242398
"Arizona",1991,"Construction",5.36480686695279
"Arizona",1992,"Construction",5.4248236767517
"Arizona",1993,"Construction",5.80030295379955
"Arizona",1994,"Construction",6.48345153664303
"Arizona",1995,"Construction",6.98672911787666
"Arizona",1996,"Construction",7.05490672726312
"Arizona",1997,"Construction",7.02408545802681
"Arizona",1998,"Construction",7.20586108835012
"Arizona",1999,"Construction",7.43377559983357
"Arizona",2000,"Construction",7.49476124660038
"Arizona",2001,"Construction",7.66141489033055
"Arizona",2002,"Construction",7.59426681367144
"Arizona",2003,"Construction",7.66353514265832
"Arizona",2004,"Construction",8.03908412312337
"Arizona",2005,"Construction",8.73199076653666
"Arizona",2006,"Construction",9.10468684878566
"Arizona",2007,"Construction",8.39367022467717
"Arizona",2008,"Construction",7.09628217349857
"Arizona",2009,"Construction",5.29063553399655
"Arizona",2010,"Construction",4.67270136618892
"Arizona",2011,"Construction",4.59746289694055
"Arizona",2012,"Construction",4.70874771666328
"Arizona",2013,"Construction",4.90756169166072
"Arizona",2014,"Construction",4.86694677871148
"Arizona",2015,"Construction",4.85204855842185
"Arizona",2016,"Construction",4.97392847897637
"Arkansas",1990,"Construction",4.14547028899231
"Arkansas",1991,"Construction",3.87572069186419
"Arkansas",1992,"Construction",3.93520922022635
"Arkansas",1993,"Construction",3.91387463527518
"Arkansas",1994,"Construction",4.03249202204816
"Arkansas",1995,"Construction",4.17913238593867
"Arkansas",1996,"Construction",4.37902483900644
"Arkansas",1997,"Construction",4.33601882864126
"Arkansas",1998,"Construction",4.30404562466583
"Arkansas",1999,"Construction",4.44035733053074
"Arkansas",2000,"Construction",4.58311755567064
"Arkansas",2001,"Construction",4.65458958134697
"Arkansas",2002,"Construction",4.73697984820728
"Arkansas",2003,"Construction",4.43629377346957
"Arkansas",2004,"Construction",4.4383041188153
"Arkansas",2005,"Construction",4.64385771287885
"Arkansas",2006,"Construction",4.74720507258468
"Arkansas",2007,"Construction",4.67413864674139
"Arkansas",2008,"Construction",4.67359667359667
"Arkansas",2009,"Construction",4.42956476950811
"Arkansas",2010,"Construction",4.18744625967326
"Arkansas",2011,"Construction",4.04238953935561
"Arkansas",2012,"Construction",4.02889927751806
"Arkansas",2013,"Construction",3.86838972963782
"Arkansas",2014,"Construction",3.8821052631579
"Arkansas",2015,"Construction",4.06846936244108
"Arkansas",2016,"Construction",4.09775967413442
"California",1990,"Construction",5.14290726976937
"California",1991,"Construction",4.53211896510035
"California",1992,"Construction",4.05864766351313
"California",1993,"Construction",3.79791833731533
"California",1994,"Construction",3.8973905496467
"California",1995,"Construction",4.01093088857546
"California",1996,"Construction",4.03860569715143
"California",1997,"Construction",4.21106844500996
"California",1998,"Construction",4.49604815263919
"California",1999,"Construction",4.85903202463215
"California",2000,"Construction",5.02745426003743
"California",2001,"Construction",5.30101822479741
"California",2002,"Construction",5.30280204880988
"California",2003,"Construction",5.46565786134186
"California",2004,"Construction",5.76475931587546
"California",2005,"Construction",6.01584200523637
"California",2006,"Construction",6.09102947987814
"California",2007,"Construction",5.77196658130933
"California",2008,"Construction",5.1475249142297
"California",2009,"Construction",4.31455912697863
"California",2010,"Construction",3.91835706186216
"California",2011,"Construction",3.88773835167651
"California",2012,"Construction",3.99558379279047
"California",2013,"Construction",4.2062334611349
"California",2014,"Construction",4.32789831814097
"California",2015,"Construction",4.55782609508031
"California",2016,"Construction",4.69794991928338
"Colorado",1990,"Construction",4.17515944506542
"Colorado",1991,"Construction",4.32362459546925
"Colorado",1992,"Construction",4.70256731371321
"Colorado",1993,"Construction",5.20141258155264
"Colorado",1994,"Construction",5.5751708428246
"Colorado",1995,"Construction",5.65215021529405
"Colorado",1996,"Construction",5.90246725235415
"Colorado",1997,"Construction",6.08524391475609
"Colorado",1998,"Construction",6.54160186625194
"Colorado",1999,"Construction",6.96333114508112
"Colorado",2000,"Construction",7.38967433036722
"Colorado",2001,"Construction",7.5309861684929
"Colorado",2002,"Construction",7.34364984891493
"Colorado",2003,"Construction",6.96302489780751
"Colorado",2004,"Construction",6.94164066801248
"Colorado",2005,"Construction",7.18778077268643
"Colorado",2006,"Construction",7.36255539467334
"Colorado",2007,"Construction",7.197700853601
"Colorado",2008,"Construction",6.88422754541973
"Colorado",2009,"Construction",5.84698966868543
"Colorado",2010,"Construction",5.17931872384466
"Colorado",2011,"Construction",4.98096165766404
"Colorado",2012,"Construction",5.0064850843061
"Colorado",2013,"Construction",5.35286955791595
"Colorado",2014,"Construction",5.76899671386263
"Colorado",2015,"Construction",5.85388882332114
"Colorado",2016,"Construction",5.95004425970827
"Connecticut",1990,"Construction",3.84045443319338
"Connecticut",1991,"Construction",3.30079630105317
"Connecticut",1992,"Construction",3.125
"Connecticut",1993,"Construction",3.12806112453471
"Connecticut",1994,"Construction",3.18673489215623
"Connecticut",1995,"Construction",3.22745901639344
"Connecticut",1996,"Construction",3.31732591937318
"Connecticut",1997,"Construction",3.47058091802463
"Connecticut",1998,"Construction",3.55947672649833
"Connecticut",1999,"Construction",3.64845434938893
"Connecticut",2000,"Construction",3.81503572904978
"Connecticut",2001,"Construction",3.89007851534618
"Connecticut",2002,"Construction",3.80780780780781
"Connecticut",2003,"Construction",3.76383315091816
"Connecticut",2004,"Construction",3.98205951875871
"Connecticut",2005,"Construction",3.96486372661091
"Connecticut",2006,"Construction",3.99238412566193
"Connecticut",2007,"Construction",4.03933345109816
"Connecticut",2008,"Construction",3.84321111176505
"Connecticut",2009,"Construction",3.3566949465142
"Connecticut",2010,"Construction",3.10945273631841
"Connecticut",2011,"Construction",3.16521953322249
"Connecticut",2012,"Construction",3.13893129770992
"Connecticut",2013,"Construction",3.2361675049997
"Connecticut",2014,"Construction",3.34035510081252
"Connecticut",2015,"Construction",3.45857475658563
"Connecticut",2016,"Construction",3.51378714787684
"Delaware",1990,"Construction",NA
"Delaware",1991,"Construction",NA
"Delaware",1992,"Construction",NA
"Delaware",1993,"Construction",NA
"Delaware",1994,"Construction",NA
"Delaware",1995,"Construction",NA
"Delaware",1996,"Construction",NA
"Delaware",1997,"Construction",NA
"Delaware",1998,"Construction",NA
"Delaware",1999,"Construction",NA
"Delaware",2000,"Construction",NA
"Delaware",2001,"Construction",NA
"Delaware",2002,"Construction",NA
"Delaware",2003,"Construction",NA
"Delaware",2004,"Construction",NA
"Delaware",2005,"Construction",NA
"Delaware",2006,"Construction",NA
"Delaware",2007,"Construction",NA
"Delaware",2008,"Construction",NA
"Delaware",2009,"Construction",NA
"Delaware",2010,"Construction",NA
"Delaware",2011,"Construction",NA
"Delaware",2012,"Construction",NA
"Delaware",2013,"Construction",NA
"Delaware",2014,"Construction",NA
"Delaware",2015,"Construction",NA
"Delaware",2016,"Construction",NA
"District of Columbia",1990,"Construction",NA
"District of Columbia",1991,"Construction",NA
"District of Columbia",1992,"Construction",NA
"District of Columbia",1993,"Construction",NA
"District of Columbia",1994,"Construction",NA
"District of Columbia",1995,"Construction",NA
"District of Columbia",1996,"Construction",NA
"District of Columbia",1997,"Construction",NA
"District of Columbia",1998,"Construction",NA
"District of Columbia",1999,"Construction",NA
"District of Columbia",2000,"Construction",NA
"District of Columbia",2001,"Construction",NA
"District of Columbia",2002,"Construction",NA
"District of Columbia",2003,"Construction",NA
"District of Columbia",2004,"Construction",NA
"District of Columbia",2005,"Construction",NA
"District of Columbia",2006,"Construction",NA
"District of Columbia",2007,"Construction",NA
"District of Columbia",2008,"Construction",NA
"District of Columbia",2009,"Construction",NA
"District of Columbia",2010,"Construction",NA
"District of Columbia",2011,"Construction",NA
"District of Columbia",2012,"Construction",NA
"District of Columbia",2013,"Construction",NA
"District of Columbia",2014,"Construction",NA
"District of Columbia",2015,"Construction",NA
"District of Columbia",2016,"Construction",NA
"Florida",1990,"Construction",7.22130031883355
"Florida",1991,"Construction",6.47730289354924
"Florida",1992,"Construction",6.32716916793135
"Florida",1993,"Construction",6.47625912244346
"Florida",1994,"Construction",6.51398698241241
"Florida",1995,"Construction",6.63005625502277
"Florida",1996,"Construction",6.77988115725558
"Florida",1997,"Construction",6.72994230137757
"Florida",1998,"Construction",6.74915295256534
"Florida",1999,"Construction",6.76645297888608
"Florida",2000,"Construction",6.85568471789056
"Florida",2001,"Construction",6.99097081262686
"Florida",2002,"Construction",7.05836292961213
"Florida",2003,"Construction",7.24497414484418
"Florida",2004,"Construction",7.65673038363855
"Florida",2005,"Construction",8.19292902031846
"Florida",2006,"Construction",8.54576657605632
"Florida",2007,"Construction",7.78790492979758
"Florida",2008,"Construction",6.68706010447316
"Florida",2009,"Construction",5.48373269914135
"Florida",2010,"Construction",4.89063001017719
"Florida",2011,"Construction",4.62637377790648
"Florida",2012,"Construction",4.62491043545269
"Florida",2013,"Construction",4.8269040553907
"Florida",2014,"Construction",5.07738118059017
"Florida",2015,"Construction",5.33320177115581
"Florida",2016,"Construction",5.64687358351027
"Georgia",1990,"Construction",4.90979977532545
"Georgia",1991,"Construction",4.29464345722159
"Georgia",1992,"Construction",4.04740682050774
"Georgia",1993,"Construction",4.10370606012407
"Georgia",1994,"Construction",4.28220747340667
"Georgia",1995,"Construction",4.53804506025499
"Georgia",1996,"Construction",4.73367794134172
"Georgia",1997,"Construction",4.75106295432725
"Georgia",1998,"Construction",4.92416207042851
"Georgia",1999,"Construction",5.23348607321217
"Georgia",2000,"Construction",5.21301998240543
"Georgia",2001,"Construction",5.21544234304566
"Georgia",2002,"Construction",5.07609002489286
"Georgia",2003,"Construction",5.03915032173037
"Georgia",2004,"Construction",5.09356039361648
"Georgia",2005,"Construction",5.18847998409661
"Georgia",2006,"Construction",5.32243547641636
"Georgia",2007,"Construction",5.30926721551497
"Georgia",2008,"Construction",4.95123962932415
"Georgia",2009,"Construction",4.25139106130927
"Georgia",2010,"Construction",3.87813787207585
"Georgia",2011,"Construction",3.7408338033947
