"State","Year","Variable","Value"
"Alabama","1990","Labor force participation","62.1"
"Alabama","1991","Labor force participation","61.7"
"Alabama","1992","Labor force participation","62.4"
"Alabama","1993","Labor force participation","62.7"
"Alabama","1994","Labor force participation","62.8"
"Alabama","1995","Labor force participation","63.5"
"Alabama","1996","Labor force participation","63.5"
"Alabama","1997","Labor force participation","64.4"
"Alabama","1998","Labor force participation","63.9"
"Alabama","1999","Labor force participation","63.7"
"Alabama","2000","Labor force participation","63.1"
"Alabama","2001","Labor force participation","62.4"
"Alabama","2002","Labor force participation","61.9"
"Alabama","2003","Labor force participation","62"
"Alabama","2004","Labor force participation","62"
"Alabama","2005","Labor force participation","61.7"
"Alabama","2006","Labor force participation","61.5"
"Alabama","2007","Labor force participation","61.1"
"Alabama","2008","Labor force participation","60.6"
"Alabama","2009","Labor force participation","59.7"
"Alabama","2010","Labor force participation","59.5"
"Alabama","2011","Labor force participation","59.1"
"Alabama","2012","Labor force participation","58.1"
"Alabama","2013","Labor force participation","57.6"
"Alabama","2014","Labor force participation","57.2"
"Alabama","2015","Labor force participation","56.6"
"Alabama","2016","Labor force participation","56.8"
"Alaska","1990","Labor force participation","72.2"
"Alaska","1991","Labor force participation","72.4"
"Alaska","1992","Labor force participation","72.8"
"Alaska","1993","Labor force participation","73.2"
"Alaska","1994","Labor force participation","73.9"
"Alaska","1995","Labor force participation","73.2"
"Alaska","1996","Labor force participation","73.6"
"Alaska","1997","Labor force participation","73.9"
"Alaska","1998","Labor force participation","74"
"Alaska","1999","Labor force participation","73.5"
"Alaska","2000","Labor force participation","73.3"
"Alaska","2001","Labor force participation","72.5"
"Alaska","2002","Labor force participation","72.2"
"Alaska","2003","Labor force participation","72.1"
"Alaska","2004","Labor force participation","71.5"
"Alaska","2005","Labor force participation","71.7"
"Alaska","2006","Labor force participation","71.4"
"Alaska","2007","Labor force participation","70.7"
"Alaska","2008","Labor force participation","71"
"Alaska","2009","Labor force participation","70.3"
"Alaska","2010","Labor force participation","69.8"
"Alaska","2011","Labor force participation","69.2"
"Alaska","2012","Labor force participation","68.3"
"Alaska","2013","Labor force participation","67.8"
"Alaska","2014","Labor force participation","67.7"
"Alaska","2015","Labor force participation","66.9"
"Alaska","2016","Labor force participation","66.1"
"Arizona","1990","Labor force participation","64.3"
"Arizona","1991","Labor force participation","63.2"
"Arizona","1992","Labor force participation","63.4"
"Arizona","1993","Labor force participation","63.5"
"Arizona","1994","Labor force participation","65.5"
"Arizona","1995","Labor force participation","66.6"
"Arizona","1996","Labor force participation","66"
"Arizona","1997","Labor force participation","64.4"
"Arizona","1998","Labor force participation","64.9"
"Arizona","1999","Labor force participation","65.6"
"Arizona","2000","Labor force participation","65.2"
"Arizona","2001","Labor force participation","65.4"
"Arizona","2002","Labor force participation","65.9"
"Arizona","2003","Labor force participation","65.5"
"Arizona","2004","Labor force participation","65"
"Arizona","2005","Labor force participation","64.6"
"Arizona","2006","Labor force participation","64.6"
"Arizona","2007","Labor force participation","63.7"
"Arizona","2008","Labor force participation","63.8"
